Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
三轴空闲,axis_idle,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|三轴空闲
三轴故障,axis_fault,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|三轴故障
三轴复位,axis_reset,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|三轴复位
三轴初始化,axis_initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|三轴初始化
三轴初始化完成,axis_initialization_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|三轴初始化完成
三轴目标位置代码,axis_target_position_code,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|三轴目标位置代码
三轴目标取放料代码,axis_target_pick_place_code,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|三轴目标取放料代码
三轴动作代码,axis_action_code,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|三轴动作代码
三轴动作触发,axis_action_trigger,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|三轴动作触发
三轴动作完成,axis_action_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|三轴动作完成
蠕动泵阀号,peristaltic_pump_valve_number,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|蠕动泵阀号
浸泡时间,soaking_time,VARIABLE,INT32,Chinese,ns=4;s=OP20_UniLab|浸泡时间
清洗时间,cleaning_time,VARIABLE,INT32,Chinese,ns=4;s=OP20_UniLab|清洗时间
吹气时间,blowing_time,VARIABLE,INT32,Chinese,ns=4;s=OP20_UniLab|吹气时间
磁搅控制[0].磁搅参数温度,stirrer_2_temperature,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅参数温度
磁搅控制[0].磁搅参数时间,stirrer_2_time,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅参数时间
磁搅控制[0].磁搅参数速度,stirrer_2_speed,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅参数速度
磁搅控制[0].磁搅占位,stirrer_2_occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅占位
磁搅控制[0].磁搅请求加工,stirrer_2_request_process,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅请求加工
磁搅控制[0].磁搅参数已下发,stirrer_2_params_downloaded,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅参数已下发
磁搅控制[0].磁搅参数已执行,stirrer_2_params_executed,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅参数已执行
磁搅控制[0].磁搅开始加工,stirrer_2_start,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅开始加工
磁搅控制[0].磁搅加工完成,stirrer_2_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅加工完成
磁搅控制[0].磁搅初始化,stirrer_2_initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅初始化
磁搅控制[0].磁搅初始化完成,stirrer_2_initialization_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[0].磁搅初始化完成
磁搅控制[1].磁搅参数温度,stirrer_1_temperature,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅参数温度
磁搅控制[1].磁搅参数时间,stirrer_1_time,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅参数时间
磁搅控制[1].磁搅参数速度,stirrer_1_speed,VARIABLE,INT16,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅参数速度
磁搅控制[1].磁搅占位,stirrer_1_occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅占位
磁搅控制[1].磁搅请求加工,stirrer_1_request_process,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅请求加工
磁搅控制[1].磁搅参数已下发,stirrer_1_params_downloaded,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅参数已下发
磁搅控制[1].磁搅参数已执行,stirrer_1_params_executed,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅参数已执行
磁搅控制[1].磁搅开始加工,stirrer_1_start,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅开始加工
磁搅控制[1].磁搅加工完成,stirrer_1_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅加工完成
磁搅控制[1].磁搅初始化,stirrer_1_initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅初始化
磁搅控制[1].磁搅初始化完成,stirrer_1_initialization_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|磁搅控制[1].磁搅初始化完成
电解池1加工完成,Electrolytic_Cell_1_Done,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|电解池1加工完成
电解池2加工完成,Electrolytic_Cell_2_Done,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP20_UniLab|电解池2加工完成
