Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
机械臂空闲,robot_idle,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|机械臂空闲
机械臂故障,robot_fault,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|机械臂故障
机械臂复位,robot_reset,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|机械臂复位
机械臂初始化,robot_initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|机械臂初始化
机械臂初始化完成,robot_initialization_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|机械臂初始化完成
机械臂目标位置代码,robot_target_position_code,VARIABLE,INT16,Chinese,ns=4;s=OP10_UniLab|机械臂目标位置代码
机械臂目标取放料代码,robot_target_pick_place_code,VARIABLE,INT16,Chinese,ns=4;s=OP10_UniLab|机械臂目标取放料代码
机械臂动作代码,robot_action_code,VARIABLE,INT16,Chinese,ns=4;s=OP10_UniLab|机械臂动作代码
机械臂动作触发,robot_action_trigger,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|机械臂动作触发
机械臂动作完成,robot_action_complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|机械臂动作完成
移液搅拌控制[0].磁搅参数温度,station_1_temperature,VARIABLE,INT16,Chinese,ns=4;s=OP10_UniLab|移液搅拌控制[0].磁搅参数温度
移液搅拌控制[0].磁搅参数时间,station_1_time,VARIABLE,INT16,Chinese,ns=4;s=OP10_UniLab|移液搅拌控制[0].磁搅参数时间
移液搅拌控制[0].磁搅参数速度,station_1_speed,VARIABLE,INT16,Chinese,ns=4;s=OP10_UniLab|移液搅拌控制[0].磁搅参数速度
移液搅拌控制[0].注射泵位置,station_1_syringe_position,VARIABLE,INT16,Chinese,ns=4;s=OP10_UniLab|移液搅拌控制[0].注射泵位置
移液搅拌控制[0].移液搅拌占位,station_1_occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|移液搅拌控制[0].移液搅拌占位
移液搅拌控制[0].移液搅拌请求加工,station_1_request_process,VARIABLE,BOOLEAN,Chinese,ns=4;s=OP10_UniLab|移液搅拌控制[0].移液搅拌请求加工
